Category,Subcategory,User Words (Raw Input),Interpreted Intent,Enriched Prompt Language,Output Type,Model Route
Color,Calm,"calm; soft; relaxing","low saturation; cool tones; gentle contrast","Generate a soft calming color palette using muted blues greens and quiet neutrals with low saturation and a peaceful tone.",palette,Palette API
Color,Calm Wellness,"wellness; soothing; peaceful spa","serene wellness palette; natural softness","Generate a wellness-oriented palette with soft sage mist blue warm ivory and low-contrast supporting tones for a restorative feeling.",palette,Palette API
Color,Minimal Neutral,"clean; apple vibe; minimal; simple","neutral palette; high whitespace; restrained accents","Generate a minimal neutral palette with off-white stone graphite and one subtle accent designed for a clean high-whitespace interface.",palette,Palette API
Color,Dark Lux,"dark but not depressing; moody but elegant","deep tones; restrained brightness; premium feel","Generate a dark premium palette with charcoal espresso muted plum and warm metallic accents that feels elegant rather than heavy.",palette,Palette API
Color,Feminine Balanced,"girly but not too much; feminine but mature","soft pinks; balanced neutrals; restrained sweetness","Generate a balanced feminine palette with dusty rose blush cream and grounded neutrals that feels polished rather than sugary.",palette,Palette API
Color,Futuristic Neon,"futuristic; ai; cyber","dark base; neon accents; high contrast","Generate a futuristic palette with deep near-black surfaces electric blue violet and sharp neon highlight tones.",palette,Palette API
Color,Earthy Organic,"earthy; natural; grounded","warm earth tones; botanical influence","Generate an earthy palette with clay olive bark sand and organic muted supporting colors for a grounded natural mood.",palette,Palette API
Color,Fresh Tech,"modern startup; fresh; optimistic","clean brights; approachable tech energy","Generate a modern tech palette with crisp blue mint white and confident but approachable supporting tones.",palette,Palette API
Color,Seasonal Autumn,"autumn; cozy; fall tones","warm harvest palette; nostalgic depth","Generate an autumn-inspired palette with burnt orange rust plum oat and deep evergreen accents.",palette,Palette API
Color,Seasonal Spring,"spring; fresh; bloom","light lively tones; airy optimism","Generate a spring palette with petal pink leaf green sky blue buttercream and bright but gentle accents.",palette,Palette API
Color,Oceanic,"ocean; coastal; water","blue-green range; refreshing calm","Generate an oceanic palette with deep teal seafoam marine blue mist and sandy neutrals.",palette,Palette API
Color,Sunset Warm,"sunset; glowy; warm","orange coral amber spectrum","Generate a warm sunset palette with coral apricot amber rose and dusk-inspired supporting tones.",palette,Palette API
Color,Monochrome,"monochrome; black and white; grayscale","neutral grayscale system","Generate a refined monochrome palette with layered blacks whites and mid-grays that maintains clear hierarchy.",palette,Palette API
Color,Playful Bright,"fun; playful; vibrant","high-energy saturated palette","Generate a playful bright palette with bold candy tones balanced by clear neutrals and strong contrast.",palette,Palette API
UI,Minimal Mobile,"clean app; apple vibe; simple app","minimal UI; generous spacing; neutral surfaces","Design a minimal mobile interface using neutral colors clean typography rounded geometry and strong spacing hierarchy inspired by premium consumer apps.",ui,Claude
